# file...... time_results/powerB_pv.csv
# date...... Tue Oct 24 17:34:11 2017
# user...... ericlinxie
# host...... (null)
# group..... class=meter
# property.. measured_power_B
# limit..... 0
# interval.. 0
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611
2000-08-02 00:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.093j,+0+0j,+486294+90973.6j,+68000-162449j,+68344.5-161931j,+0+0j
2000-08-02 01:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.094j,+0+0j,+486294+90973.7j,+68000-162449j,+68344.5-161931j,+0+0j
2000-08-02 02:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.094j,+0+0j,+486294+90973.7j,+68000-162449j,+68344.5-161931j,+0+0j
2000-08-02 03:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.094j,+0+0j,+486294+90973.7j,+68000-162449j,+68344.5-161931j,+0+0j
2000-08-02 04:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.094j,+0+0j,+486294+90973.7j,+68000-162449j,+68344.5-161931j,+0+0j
2000-08-02 05:00:00 HDT,+121423+92588j,+977189+373720j,+980149+341459j,+977207+373720j,-0+0j,+0+0j,+120000+90000j,+331799+125763j,+161528+550.094j,+0+0j,+486294+90973.7j,+68000-162449j,+68344.5-161931j,+0+0j
2000-08-02 06:00:00 HDT,+121421+92584.2j,+835885+358408j,+838467+335013j,+835898+358408j,-142814-1819.11j,+0+0j,+120000+90000j,+332204+125636j,+161932+422.575j,+0+0j,+342406+88015.7j,+68000-162990j,+68343.9-162475j,+0+0j
2000-08-02 07:00:00 HDT,+121415+92572.9j,+412161+320051j,+413088+314473j,+412165+320051j,-572595-21845.1j,+0+0j,+120000+90000j,+333397+125283j,+163122+66.7617j,+0+0j,-90140.4+69058.9j,+68000-164749j,+68342.7-164239j,+0+0j
2000-08-02 08:00:00 HDT,+121414+92570.3j,+188858+330067j,+188339+328344j,+188860+330067j,-800690-16897.6j,+0+0j,+120000+90000j,+333736+125192j,+163460-24.9938j,+0+0j,-319079+78477.5j,+68000-165209j,+68341.7-164702j,+0+0j
2000-08-02 09:00:00 HDT,+121408+92559.4j,-369238+328533j,-374640+320402j,-369234+328533j,-1.37404e+06-70234.3j,+0+0j,+120000+90000j,+334971+124856j,+164692-363.289j,+0+0j,-894106+42672.8j,+68000-167379j,+68341.3-166879j,+0+0j
2000-08-02 10:00:00 HDT,+121407+92558.8j,-919565+410171j,-933435+370843j,-919549+410171j,-1.94832e+06-104513j,+0+0j,+120000+90000j,+335419+124762j,+165139-458.602j,+0+0j,-1.46792e+06+41084.1j,+68000-168280j,+68339.4-167786j,+0+0j
2000-08-02 11:00:00 HDT,+121416+92575.3j,-1.01165e+06+523090j,-1.02927e+06+472566j,-1.01163e+06+523090j,-2.04867e+06-28685.1j,+0+0j,+120000+90000j,+334377+124917j,+164098-301.615j,+0+0j,-1.56759e+06+129289j,+68000-165827j,+68333.3-165335j,+0+0j
2000-08-02 12:00:00 HDT,+121408+92559.3j,-2.21109e+06+657134j,-2.25686e+06+447337j,-2.21101e+06+657134j,-3.32637e+06-373723j,+0+0j,+120000+90000j,+336452+124443j,+166168-780.467j,+0+0j,-2.83899e+06-103677j,+68000-171797j,+68339.7-171315j,+0+0j
