# file...... time_results/powerC_pv.csv
# date...... Tue Oct 24 17:34:11 2017
# user...... ericlinxie
# host...... (null)
# group..... class=meter
# property.. measured_power_C
# limit..... 0
# interval.. 0
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611
2000-08-02 00:00:00 HDT,+121493+92715j,+1.3564e+06+645046j,+1.31566e+06+564366j,+1.35643e+06+645046j,+0+0j,+171847-29597.3j,+120000+90000j,+79700.5+137954j,+79430+137739j,+0+0j,+1.00488e+06+243641j,+290000+20570.4j,+418136+37388.5j,+171431-30017.4j
2000-08-02 01:00:00 HDT,+121493+92715j,+1.3564e+06+645046j,+1.31566e+06+564366j,+1.35643e+06+645046j,+0+0j,+171847-29597.3j,+120000+90000j,+79700.5+137954j,+79430+137739j,+0+0j,+1.00488e+06+243641j,+290000+20570.4j,+418136+37388.5j,+171431-30017.4j
2000-08-02 02:00:00 HDT,+121493+92715j,+1.3564e+06+645046j,+1.31566e+06+564366j,+1.35643e+06+645046j,+0+0j,+171847-29597.3j,+120000+90000j,+79700.5+137954j,+79430+137739j,+0+0j,+1.00488e+06+243641j,+290000+20570.4j,+418136+37388.5j,+171431-30017.4j
2000-08-02 03:00:00 HDT,+121493+92715j,+1.3564e+06+645046j,+1.31566e+06+564366j,+1.35643e+06+645046j,+0+0j,+171847-29597.3j,+120000+90000j,+79700.5+137954j,+79430+137739j,+0+0j,+1.00488e+06+243641j,+290000+20570.4j,+418136+37388.5j,+171431-30017.4j
2000-08-02 04:00:00 HDT,+121493+92715j,+1.3564e+06+645046j,+1.31566e+06+564366j,+1.35643e+06+645046j,+0+0j,+171847-29597.3j,+120000+90000j,+79700.5+137954j,+79430+137739j,+0+0j,+1.00488e+06+243641j,+290000+20570.4j,+418136+37388.5j,+171431-30017.4j
2000-08-02 05:00:00 HDT,+121493+92715j,+1.3564e+06+645046j,+1.31566e+06+564366j,+1.35643e+06+645046j,+0+0j,+171847-29597.3j,+120000+90000j,+79700.5+137954j,+79430+137739j,+0+0j,+1.00488e+06+243641j,+290000+20570.4j,+418136+37388.5j,+171431-30017.4j
2000-08-02 06:00:00 HDT,+121484+92697.9j,+1.20128e+06+619109j,+1.16753e+06+553315j,+1.2013e+06+619109j,-143607-2063.14j,+172082-28364.3j,+120000+90000j,+80155.7+138575j,+79884.1+138359j,+0+0j,+862598+243055j,+290000+18306.2j,+418669+36686.4j,+171670-28779.6j
2000-08-02 07:00:00 HDT,+121457+92649.6j,+739065+551727j,+721801+519637j,+739078+551727j,-581585-24433.9j,+172594-24705j,+120000+90000j,+81487.1+140379j,+81212.8+140160j,+0+0j,+430104+230032j,+290000+11558.7j,+420134+34614.5j,+172197-25106j
2000-08-02 08:00:00 HDT,+121449+92635.1j,+508720+554627j,+496621+531853j,+508729+554628j,-804704-17472.9j,+172144-22350.9j,+120000+90000j,+81925.5+140916j,+81650.4+140697j,+0+0j,+208967+246042j,+290000+9451.52j,+420378+34888.2j,+171754-22744.3j
2000-08-02 09:00:00 HDT,+121423+92586.7j,-85314.1+525125j,-89353.9+511236j,-85309.8+525125j,-1.39636e+06-73927.7j,+171727-17250.3j,+120000+90000j,+83375+142794j,+83096.9+142572j,+0+0j,-372469+218630j,+290000+1844.78j,+421521+33377j,+171356-17625.1j
2000-08-02 10:00:00 HDT,+121410+92563.4j,-641923+590453j,-647352+557753j,-641912+590453j,-1.96673e+06-100997j,+169579-11337.1j,+120000+90000j,+84217.9+143630j,+83938.2+143407j,+0+0j,-934040+233889j,+290000-2342.52j,+421365+34964.3j,+169226-11693.3j
2000-08-02 11:00:00 HDT,+121422+92585.2j,-718987+701009j,-726060+657923j,-718972+701009j,-2.04266e+06-22890.1j,+167407-8951.39j,+120000+90000j,+83664.5+142558j,+83386.7+142336j,+0+0j,-1.01342e+06+324833j,+290000+1041.32j,+420027+39178.1j,+167058-9303.56j
2000-08-02 12:00:00 HDT,+121378+92504.6j,-1.98903e+06+775504j,-2.02653e+06+604885j,-1.98896e+06+775504j,-3.41822e+06-369499j,+163972+1725.85j,+120000+90000j,+86352+145768j,+86068.9+145543j,+0+0j,-2.35063e+06+111559j,+290000-14837.1j,+420690+36467.4j,+163662+1412.7j
