# file...... time_results/regulator_power_loss_pv.csv
# date...... Tue Oct 24 17:34:11 2017
# user...... ericlinxie
# host...... (null)
# group..... class=regulator
# property.. power_losses
# limit..... 0
# interval.. 0
# timestamp,fregm650m630
2000-08-02 00:00:00 HDT,+82.9581+1.74623e-10i
2000-08-02 01:00:00 HDT,+82.9581+5.82077e-11i
2000-08-02 02:00:00 HDT,+82.9581+0i
2000-08-02 03:00:00 HDT,+82.9581+2.32831e-10i
2000-08-02 04:00:00 HDT,+82.9581+0i
2000-08-02 05:00:00 HDT,+82.9581+5.82077e-11i
2000-08-02 06:00:00 HDT,+66.0843-1.74623e-10i
2000-08-02 07:00:00 HDT,+28.7606+0i
2000-08-02 08:00:00 HDT,+18.5464+5.82077e-11i
2000-08-02 09:00:00 HDT,+12.4338+1.16415e-10i
2000-08-02 10:00:00 HDT,+39.2525-5.82077e-11i
2000-08-02 11:00:00 HDT,+50.3974+5.82077e-11i
2000-08-02 12:00:00 HDT,+217.902-1.16415e-10i
